Identifier	Title	Additional Title	Publication Information	Physical Description	Notes	Contents	Subjects	GeographicSubjects	Genre	CreatorNames	ContributorNames
3530391	El lugar más pequeño[videorecording] =The tiniest place /Centro de Capacitación Cinematográfica ; Fondo para la Producción Cinematográfica de Calidad, Foprocine-México ; con el apoyo de Asociación de Recuperación y Desarrollo del Municipio, ARDM ; productor, Nicolás Celis ; dirección, Tatiana Huezo Sánchez.	Title on container :Tiniest place	Brooklyn, NY :Icarus Films,[2011];©2011	1 videodisc (109 min.) :sound, color ;4 3/4 in.	This disc is a recorded DVD and may not play on all DVD players or drives.;Running time on disc surface is listed as 104 min.; actual running time is 109 min.;Originally produced as a motion picture in 2011.	"""On the surface The Tiniest Place is the story of Cinquera, a village literally wiped off the official map during El Salvador's 12-year civil war. But on a deeper level it is a story about the ability to rise, to rebuild and reinvent oneself after a tragedy. Holding the past and present in focus together, the film takes us to the tiny village nestled in the mountains amidst the humid Salvadoran jungle, while villagers, survivors of the war's massacres, recount their journey home at war's end. When they first returned their village no longer existed.""--Container."	Civil war--Social aspects.	Cinquera (El Salvador : Municipio);El Salvador--History--1979-1992.	Documentary films.--lcgft;Feature films.--lcgft;Nonfiction films.--lcgft	Celis, Nicolás.pro;Hofmann, Henner.pro;Pardo, Liliana.pro;Sánchez, Tatiana Huezo,1972-drtedm;Pardo, Ernesto.cng;Heiblum, Leonardo.cmp;Lieberman, Jacobo.cmp;Paso, Paulina del.edm;Gutiérrez Maupomé, Lucrecia.edm;Esquenazi, Lena.sds	Centro de Capacitación Cinematográfica.;Icarus Films.;Fondo para la Producción Cinematográfica de Calidad.;Asociación de Recuperación y Desarrollo del Municipio (Cinquera, El Salvador : Municipio)
3577729	Walt Disney[videorecording] /American Experience Films ; story by Sarah Colt & Tom Jennings ; telescript by Mark Zwonitzer ; produced and directed by Sarah Colt ; a Sarah Colt Productions film with the participation of Arte for American Experience.	Title from container:Walt Disney :he made believe	[Arlington, Virginia] :PBS Distribution,[2015];©2015	1 videodisc (approximately 240 min.) :sound, color with black and white sequences ;4 3/4 in.	Originally broadcast as an episode of the PBS program American Experience in 2015.	Uniquely adept at art as well as commerce, Walt Disney was a master filmmaker who harnessed the power of technology to tell stories of outsiders struggling for acceptance and belonging, while questioning the conventions of class and authority. As Disney rose to prominence and gained financial security, his work became increasingly celebratory of the American way of life that made his unlikely success possible.	Motion picture producers and directors--United States--Biography.;Motion picture authorship.		Documentary television programs.--lcgft;Nonfiction television programs.--lcgft;Biographical films.--lcgft;Nonfiction films.--lcgft;Documentary films.--lcgft	Platt, Oliver,narrator.;Colt, Sarah,film director,film producer,screenwriter.;Jennings, Thomas,screenwriter.;Zwonitzer, Mark,screenwriter.;Neuburger, Jon,editor of moving image work.;Dugas, Mark,editor of moving image work.;Baynard, John,cinematographer.;Goodman, Joel(Joel Scott),composer (expression)	Sarah Colt Productions,production company.;American Experience Films,production company.;PBS Distribution (Firm),publisher.
3572135	Lions love[videorecording] /Janus Films ; Ciné-Tamaris présente une production de Max L. Raab ; d'Agnes Varda ; written and directed by Agnes Varda.	Title on container:Lions love :(... and lies);Lions love (and lies)	[Irvington, N.Y.] :The Criterion Collection,[2015];©2015	1 videodisc (112 min.) :sound, color ;4 3/4 in.	Originally released as a motion picture in 1969.;Restored in 2013 at L'Immagine Ritrovata laboratory.	Ragni, Rado and Viva play themselves, waiting for their big Hollywood break and casually drifting into a ménage à trois. Varda captures the quirky, laid-back lifestyle of 1960s Los Angeles as her characters contemplate metaphysics, the dangers of milk consumption, Hollywood sinking into the ocean.	Motion picture actors and actresses--California--Los Angeles--Drama.;Nineteen sixties--Social aspects--Drama.	Los Angeles (Calif.)--Social life and customs--Drama.	Comedy films.--lcgft;Feature films.--lcgft;Fiction films.--lcgft;Video recordings for the hearing impaired.--lcgft;Film adaptations.--lcgft	Varda, Agnès,1928-film director,screenwriter,film producer.;Raab, Max L.,film producer.;Viva,1938-actor.;Rado, James,actor.;Ragni, Gerome,actor.;Clarke, Shirley,1919-1997,actor.;Clarens, Carlos,actor.;Constantine, Eddie,1917-1993,actor.;Landers, Hal,1928-1991,actor.;Bright, Richard,1937-2006,actor.;Larner, Stevan,cinematographer.;Alexander, Lee,cinematographer.;Weaver, William,cinematographer.;Roland, Rusty,cinematographer.;Dalva, Robert,1942-editor of moving image work.;Byrd, Joseph,composer (expression)	Janus Films,production company.;Ciné Tamaris (Firm),production company.;Criterion Collection (Firm),publisher.
3575454	Body and soul[videorecording] :the state of the Jewish nation /a film by Gloria Z. Greenfield ; producer & director, Gloria Z. Greenfield.	State of the Jewish nation	[Lexington, Massachusetts] :Doc Emet Productions,[2014];©2014	1 videodisc (approximately 65 min.) :sound, color ;4 3/4 in.		Presents a comprehensive examination of the broad and deep connections between the Jewish people and the land of Israel. World-renowned historians, archaeologists, political scientists, religious leaders, and international law and media experts trace the evocative evolution of the relationship between the Jewish people and their homeland that is over 3,000 years old.	Zionism.	Israel--History.	Documentary films.--lcgft;Historical films.--lcgft	Greenfield, Gloria Z.,film director,film producer.;Wisse, Ruth R.,interviewee.;Sacks, Jonathan,1948-interviewee.;Wistrich, Robert S.,1945-2015,interviewee.;Chisolm, Richard,cinematographer.;Grossbach, David,editor of moving image work.;Farber, Sharon,composer.	Doc Emet Productions,production company,publisher.
3530388	Foucault contre lui-même[videorecording] /the factory, Arte France, ina présentent ; un film de François Caillat ; produit par Frank Eskenazi.	Title from English subtitles:Foucault versus Foucault;Title on container:Foucault against himself	Brooklyn, N.Y. :Icarus Films,[2014];©2014	1 videodisc (53 min.) :sound, color with black and white sequences ;4 3/4 in.	Originally produced as a motion picture in 2014.	Leading philosophers, sociologists and historians discuss the energy and fierce intellect of the well-known 20th century philosopher, Michel Foucault, and they introduce us to some of the key elements of his work, while also acknowledging-- and even celebrating-- its many contradictions. Focuses on Foucault's critique of psychiatry, his work on the history of sexuality, the growth of his radicalism arising from his research into the French penal system, the nature of knowledge and underlying structures of human behavior, and his immersion in American counter-cultural movements, in particular the resistance to current social structures that he found among sexual minority communities in San Francisco. Includes archival footage.	Power (Philosophy);Social sciences--Philosophy.		Documentary films.--lcgft;Feature films.--lcgft;Nonfiction films.--lcgft;Feature films--France.--local;Foreign language films--French.--local	Caillat, François,film producer,film director.;Eskenazi, Frank,film producer.;Lagasnerie, Geoffroy de,interviewee.;Farge, Arlette,interviewee.;Eribon, Didier,interviewee.;Didi-Huberman, Georges,interviewee.;Bersani, Leo,interviewee.;Foucault, Michel,1926-1984,interviewee.;Razavet, Isabelle,cinematographer.;Purcell, Henry,1659-1695.King Arthur.	Factory (Firm),production company.;ARTE France,production company.;Ina.fr (Firm),production company.;Icarus Films,publisher.
3555299	"Trudno bytʹ bogom[videorecording] =Hard to be a god /Studii︠a︡ ""Sever"" ; prodi︠u︡ser, R. Nasibulin, V. Izvekov ; st︠s︡enariĭ, S. Karmalita, A. I︠U︡ German ; postanovka, A. I︠U︡ German."	Title on container:Hard to be a god	New York, NY :Kino Lorber,[2015];©2015	1 videodisc (177 min.) :sound, black and white ;4 3/4 in.	Completed by the director's son, Aleksei A. German.;Originally released as a motion picture in 2013.;Based on the novel by Arkady and Boris Strugatsky.;Filmed by Lenfilʹm, Saint Petersburg.;Originally produced as a motion picture in 2013.;Includes trailer.	Don Rumata is one of a group of Earth scientists who have been sent to the planet Arkanar with the proviso that they must not interfere in the planet's political or historical development. Treated by the planet's natives as a kind of divinity, Don is both godlike and impotent in the face of its chaos and brutality.	Human-alien encounters--Drama.;Extraterrestrial beings--Drama.;Scientists--Drama.;Plurality of worlds--Drama.;Interplanetary voyages--Drama.;Civilization, Medieval--Drama.;Intellectuals--Drama.;Regression (Civilization)--Drama.		Dystopian films.--lcgft;Science fiction films.--lcgft;Film adaptations.--lcgft;Feature films.--lcgft;Fiction films.--lcgft;Feature films--Russia (Federation)--local;Foreign language films--Russian.--local	880-06German, Alekseĭ,1976-film director,screenwriter.;880-08Karmalita, Svetlana,screenwriter.;880-09Ilʹin, Vladimir,1938-director of photography.;880-10Klimenko, I͡Uriĭ,director of photography.;880-11Nasibulin, Rushan,film producer.;880-12Izvekov, Viktor,film producer.;880-13I︠A︡rmolʹnik, Leonid,actor.;880-14T︠S︡urilo, I︠U︡riĭ,actor.;880-15Moteva, Natalʹi︠a︡,1979-actor.;880-16Chutko, Aleksandr,1947-actor.;880-17Gerchakov, Evgeniĭ,actor.;880-18Vladimirov, Dmitriĭ,1988-actor.;Pit︠s︡khelauri, Laura,1982-actor.;880-19Motion picture adaptation of (work):Strugat︠s︡kiĭ, Arkadiĭ,1925-1991.Trudno bytʹ bogom.;880-20Strugat︠s︡kiĭ, Arkadiĭ,1925-1991.;880-21Lebedev, Viktor,1935-composer (expression)	"Studii︠a︡ ""Sever"",production company.;Lenfilʹm,production company.;Kino Lorber, Inc.,publisher."
3637928	The four horsemen of the Apocalypse[videorecording] /Metro presents ; Rex Ingram production of Vicente Blasco Ibáñez literary masterpiece ; produced by Metro Pictures Corporation ; directed and supervised by Rex Ingram ; written for the screen by June Mathis.	4 horsemen of the Apocalypse	[Burbank, Calif.] :Hollywood's Attic,[2009];©2009	1 videodisc (approximately 132 min.) :silent, black and white ;4 3/4 in	"This disc may not play on all machines or drives.;Based on the novel of the same title by Vicente Blasco Ibáñez.;Videodisc release of the 1921 motion picture.;""Music composed and performed by Keith Taylor. Performed at Mad Matilda's Baker City, Oregon, September 25, 2009, © 2009 Sami Records""--End credits."	When his girlfriend's husband is blinded in the war, a wealthy Argentinian's son is persuaded to enlist in the war effort, spurred on by a recruiter who believes that WWI is the beginning of the Apocalypse.  Partly set in Argentina, partly in France this anti-German story describes the horrors of WW I as the background for a tragic story of illicit love. It was Rex Ingram's first truly successful movie and established Valentino as a star.	World War, 1914-1918--Drama.;Man-woman relationships--Drama.		War films.--lcgft;Feature films.--lcgft;Silent films.--lcgft;Film adaptations.--lcgft;National Film Registry.--local	Blasco Ibáñez, Vicente,1867-1928,author.Cuatro jinetes del Apocalipsis.English.;Ingram, Rex,1892-1950,film director,film producer.;Mathis, June,1892-1927,screenwriter.;Taylor, Keith(Pianist),performer.;Cannon, Pomeroy,1870-1928,actor.;Swickard, Josef,1866-1940,actor.;Clark, Bridgetta,actor.;Warwick, Virginia,actor.;Valentino, Rudolph,1895-1926,actor.;Terry, Alice,1899-1987,actor.;Hale, Alan,1892-1950,actor.;Beery, Wallace,actor.;Van Buren, Mabel,1878-1947,actor.;De Brulier, Nigel,1878-1948,actor.;Whytock, Grant,editor of moving image work.;Seitz, John F.(John Francis),1892-1979,cinematographer.	Metro Pictures Corporation,presenter,production company.;Hollywood's Attic (Firm);Sami Records (Firm)
3637937	Witness to hope[videorecording] :the life of Karol Wojtyła, Pope John Paul II /directed and written by Judith Dwan Hallet ; produced by Catherine Wyler and Judith Dwan Hallet ; W/R Productions, Inc. ; Commandant LLC.	Container title:Witness to hope : the life of John Paul II;Life of Karol Wojtyła, Pope John Paul II;Life of John Paul II	Santa Monica, CA :Distributed by Xenon Pictures,[2005]	1 videodisc (approximately 115 min.) :sound, color with black and white sequences ;4 3/4 in.	Based on the book by George Weigel.;DVD release of the 2002 documentary.	This richly textured film traces the personal life and struggles of the first non-Italian pope in over 450 years. Based on George Weigel's book of the same title, this film is a complete and intimate portrait of an extraordinary leader.	Popes--Biography.;Biographical films.			Wyler, Catherine,1939-film producer.;Hallet, Judith Dwan,1941-film producer,film director,screenwriter.;Auberjonois, René,1940-narrator.;Roland, Erich,cinematographer.;Zakin, Robert,editor of moving image work.;Karns, Fred,composer (expression);Motion picture adaptation of (work):Weigel, George,1951-Witness to hope.	W/R Productions,production company.;Commandant LLC,production company.;Xenon Pictures,film distributor.
3534702	Sauve qui peut (la vie)[videorecording] /Gaumont présente ; Sara Films, MK2, Saga Produktion, Sonimage, CNC, ZDF, SSR, ORF ; un film composé par Jean-Luc Godard ; scénario, Anne-Marie Miéville, Jean-Claude Carrière.	Title on container:Every man for himself	[Irvington, New York] :The Criterion Collection,[2015];©2015	2 videodiscs (88 min.) :sound, color ;4 3/4 in. +1 insert (19 x 71 cm, folded to 19 x 12 cm)	"Originally produced as a motion picture in 1980.;Special features: Scénario de ""Sauve qui peut (la vie)"" (1979, a short video created by director Jean-Luc Godard); Sound, image and Every man for himself (video essay by film historian/critic Colin MacCabe); Jean-Luc Godard on The Dick Cavett Show (two 1980 episodes of the The Dick Cavett Show); Godard 1980 (a short film by Jon Jost, Donald Ranvaud, and Peter Wollen in association with the magazine Framework: The Journal of Cinema and Media); Interviews: Marin Karmitz, Isabelle Huppert, Nathalie Baye, Renato Berta and William Lubtchansky, Gabriel Yared; Trailer. Insert features an essay by critic Amy Taubin."	This looks at the sexual and professional lives of three people: a television producer, his ex-girlfriend, and a prostitute, to create a meditative story about work, relationships, and the notion of freedom.	Man-woman relationships--France--Drama.;Prostitutes--France--Drama.;Television producers and directors--France--Drama.		Fiction films.--lcgft;Feature films.--lcgft;Feature films--France.--local;Feature films--Austria.--local;Feature films--Germany (West)--local;Foreign language films--French.--local;Motion pictures--France.--local	Godard, Jean-Luc,1930-film director,editor of moving image work.;Miéville, Anne-Marie,screenwriter,film editor.;Carrière, Jean-Claude,1931-screenwriter.;Huppert, Isabelle,actor.;Dutronc, Jacques,actor.;Baye, Nathalie,1948-actor.;Amstutz, Roland,actor.;Personne, Fred,1932-actor.;Barscha, Monique,actor.;Goupil, Romain,art director.;Lubtchansky, William,cinematographer.;Berta, Renato,cinematographer.;Menoud, Jean-Bernard,cinematographer.;Yared, Gabriel,composer (expression);MacCabe, Colin,filmmaker.;Cavett, Dick,host.;Jost, Jon,filmmaker.;Ranvaud, Donald,filmmaker.;Wollen, Peter,filmmaker.;Karmitz, Marin,interviewee (expression);Taubin, Amy,writer of supplementary textual content.	Gaumont (Firm),presenter.;Sara Films,production company.;MK2 Productions,production company.;Saga Produktion,production company.;Sonimage (Firm),production company.;Centre national de la cinématographie (France),production company.;Zweites Deutsches Fernsehen,production company.;Schweizerische Radio- und Fernsehgesellschaft,production company.;Österreichischer Rundfunk,production company.;Criterion Collection (Firm),publisher.
3534706	Die bitteren Tränen der Petra von Kant[videorecording] :ein Krankheitsfall gewidmet dem, der hier Marlene wurde /Janus Films ; Rainer Werner Fassbinder Foundation presents ; Buch und Regie, Rainer Werner Fassbinder ; Tango Film Produktion Nummer Zwei.	Container title:Bitter tears of Petra von Kant	[Irvington, New York] :The Criterion Collection,[2015];©2015	2 videodiscs (125 min.) :sound, color ;4 3/4 in. +1 fold-out insert (37 x 48 cm, folded to 19 x 12 cm)	Originally produced as a motion picture in 1972.;Special features: Disc 2: Outsiders (documentary features actors Margit Carstensen, Eva Mattes, Katrin Schaake, and Hanna Schygulla discussing the production of the film and their experiences working with director Rainer Werner Fassbinder); Michael Ballhaus (new interview with cinematographer Michael Ballhaus); Jan Shattuc (new interview with Jane Shattuc, professor of visual and media arts at Emerson College and author of Television, Tabloids, and Tears: Fassbinder and Popular Culture); Role play: women on Fassbinder (1992 German television documentary by Thomas Honickel featuring interviews with actors Margit Carstensen, Irm Hermann, Hanna Schygulla, and Rosel Zech); New English subtitle translation. Insert features an essay by critic Peter Matthews.	One of the earliest and best-loved films of this period in his career, which balances a realistic depiction of tormented romance with staging that remains true to the director's roots in experimental theater. This unforgettable, unforgiving dissection of the imbalanced relationship between a haughty fashion designer and a beautiful but icy ingenue, based, in a sly gender reversal, on the writer-director's own desperate obsession with a young actor.	Fashion designers--Drama.;Actors--Drama.;Lesbians--Drama.;Lesbian couples--Drama.;Dominance (Psychology)--Drama.;Jealousy--Drama.	Germany (West)--Drama.	Feature films.--lcgft;Fiction films.--lcgft;Foreign language films--German.--local	Fassbinder, Rainer Werner,1945-1982,film director,screenwriter.;Carstensen, Margit,1940-actor.;Schygulla, Hanna,1943-actor.;Schaake, Katrin,actor.;Mattes, Eva,1955-actor.;Fackeldey, Gisela,actor.;Hermann, Irm,actor.;Ballhaus, Michael,1935-2017,cinematographer.;Eymèsz, Thea,film editor.;Verdi, Giuseppe,1813-1901,composer (expression);Raab, Kurt,1941-1988,production designer.;Shattuc, Jane,interviewee (expression);Honickel, Thomas,filmmaker.;Zech, Rosel,1942-2011,interviewee (expression);Matthews, Peter,writer of supplementary textual content.	Platters (Musical group),composer (expression);Walker Brothers,composer (expression);Janus Films,production company.;Rainer Werner Fassbinder Foundation,presenter.;Tango Film Produktion,production company.;Criterion Collection (Firm),publisher.
3530400	Anomaly[videorecording] /a film by Jessica Chen Drammeh ; director, producer, writer and editor, Jessica Chen Drammeh.	Subtitle on container:Insider's look at multiracial identity	[New York] :Nyabinghi Productions,[2013];©2013	1 videodisc (47 min.) :sound, color ;4 3/4 in.	Videodisc release of the documentary produced in 2010.	A thought-provoking look at multiracial identity by combining personal narratives with the larger drama of mixed race in American culture. The characters use spoken word and music to tell captivating stories of navigating identity, family and community in a changing world.	Racially mixed people--United States.;Racially mixed children--Race identity--United States.;Identity (Psychology)		Documentary films.--lcgft;Feature films.--lcgft;Nonfiction films.--lcgft	Drammeh, Jessica Chen,screenwriter,film producer,film director,editor of moving image work,director of photography.;Ashmead, Graham Gaylord,film producer.;Callender, Gabriella,interviewee.;Myers, Michelle,interviewee.;Taylor, Rona,interviewee.;Rutkowski, Thaddeus,interviewee.;Reyes, Clarissa de los,cinematographer.;Okada, Jacob,cinematographer.;Siegel, Ku-Ling,cinematographer.;Armen, J.,composer (expression)	
3591306	Eye on the sixties[videorecording] :the iconic photography of Rowland Scherman /Chris Szwedo presents ; directed and produced by Chris Szwedo ; a documentary by Chris Szwedo.	Iconic photography of Rowland Scherman;Title on container and disc label:Eye on the 60s	[Eastham, Mass.] :Chris Szwedo, LLC. /,[2013];©2013	1 videodisc (88 min.) :sound, black and white, color ;4 3/4 in.	"Originally released as a documentary film in 2013.;Special feature: Behind the eye (""making of"" featurette)."	"""Eye on the 60s is an authentic piece of American history... an intimate portrait of former LIFE photographer Rowland Scherman and how his photographic eye captured the essence of America's most remarkable decade. Experience candid recollections with seldom seen moments of major celebrities, politicians, and remarkable events. Follow the path of a self-driven man who became the first Peace Corps photographer, an insider to the Kennedy and Shriver families, and who created an astounding record of the March On Washington. Travel with Scherman through time to witness the young Bob Dylan, The Beatles, Arthur Ashe, Barbara Walters, Joni Mitchell, and Judy Collins. From Washington, D.C. to the site of the 1969 Woodstock Festival--and to the healing vistas of Cape Cod, Eye on the 60s is the story of a man that despite technological change and the great passage of time, moves in a space of peace, humor, and hope...while remaining forever driven by the need to create""--Container."	Photographers--United States--Biography.;Photojournalists--United States--Biography.;Art and photography.;Nineteen sixties.;Twentieth century.		Documentary films.--lcgft;Biographical films.--lcgft;Nonfiction films.--lcgft;Feature films.--lcgft	Szwedo, Chris,filmmaker,film distributor.;Scherman, Rowland,photographer,commentator.;Stolley, Richard B.,commentator.;Collins, Judy,1939-commentator.;Clark, Tom,commentator.	
3636286	American Experience.War of the Worlds[videorecording] /American Experience Films presents ; a Desert Penguin Pictures, LLC production for American Experience ; a production of WGBH ; WGBH Educational Foundation ; Produced and directed by Cathleen O'Connell ; story by Michelle Ferrari & A. Brad Schwartz ; telescript by Michelle Ferrari.	War of the Worlds	[Arlington, VA] :PBS Distribution,[2013];©2013	1 videodisc (approximately 60 min.) :sound, color with black and white sequences ;4 3/4 in.	"Documentary.;Title from container.;""The radio play War of the Worlds was written by Howard Koch.""--End credits.;Special features: On set: the making of War of the worlds ; Dear Mr. Welles: letters that inspired the film ; outtakes."	What began as a broadcast performance of H.G. Wells's fantasy, The War of the Worlds, turned into one of the biggest mass hysteria events in U.S. history. American Experience examines the elements that together created this frenzy, including the long-time fascination with life on Mars; the emergence of radio as a powerful new medium; and creative wunderkind Orson Welles, the twenty-three-year-old director and mischief-maker supreme. The film contains reanactments of reactions to the hoax from people all over the United States.	Radio broadcasting--United States--History.	Mars (Planet)--In literature.	Documentary television programs.--lcgft;Historical reenactments (Television programs)--lcgft;Feature films.--lcgft;Nonfiction films.--lcgft;Video recordings for the hearing impaired.--lcgft	O'Connell, Cathleen,television producer,television director.;Ferrari, Michelle,screenwriter.;Schwartz, A. Brad(Austin Bradley),screenwriter.;Platt, Oliver,narrator.;Allen, Charissa,actor.;Coleman, Brady,actor.;Davis, Sonny,actor.;Douglas, Lucien,actor.;Fletcher, Bart,actor.;George, Babs,actor.;Griffin, Jennifer,actor.;Isaacs-Booth, Brenda,actor.;Jefferies, Annalee,actor.;Lindley, Betsy,actor.;Mateer, Tim,actor.;Olson, Chris,actor.;Sears, Tony,actor.;Spillers, Ashley,actor.;Vandiver, Mj,actor.;White, Irene,actor.;Funck, Brian,editor of moving image work.;McCarthy, Stephen(Cinematographer),director of photography.;Longo, Jason,director of photography.;Kusiak, John,composer.;Seftel, Joshua,director.	American Experience Films,production company.;Desert Penguin Pictures (Firm),production company.;WGBH (Television station : Boston, Mass.),production company.;WGBH Educational Foundation,production company.;PBS Distribution (Firm),film distributor.;Public Broadcasting Service (U.S.),production company,broadcaster.
3642237	Splendor in the grass[videorecording] /Warner Bros. Pictures presents ; an Elia Kazan production for Newtown Productions, Inc. ; written by William Inge ; directed by Elia Kazan.	Title on container:Elia Kazan's production of Splendor in the grass	Burbank, CA :Distributed by Warner Home Video,[2009];©2009	1 videodisc (124 min.) :sd., col. ;4 3/4 in.	"Originally released as a motion picture in 1961.;Also issued as part of the box set: Natalie Wood collection.;Special features: ""Beep prepared"" Oscar-nominated cartoon; Theatrical trailer."	Deanie is a beautiful and sensitive teenager who would do whatever her mother and her 1928 Kansas hometown find proper. Her boyfriend, Bud, has intense desires for Deanie and the two are very much in love. But sexual pressures in society creates a rift in their relationship. She restrains herself while Bud acts on them, but with another girl. Bud's actions drive Deanie to madness. She is committed into an institution while Bud reluctantly obeys his father and enrolls in Yale. The stock market crash of '29 hits and changes the lives of both their families. Together they learn the harsh lesson of love and life.	High school students--Kansas--Drama.;Teenage boys--Sexual behavior--Kansas--Drama.;Teenage girls--Conduct of life--Drama.;Depression, Mental--Kansas--Drama.;Institutional care--Kansas--Drama.;Stock Market Crash, 1929--Drama.		Romance films.--lcgft;Feature films.--lcgft;Fiction films.--lcgft;Films for the hearing impaired.--lcgft	Kazan, Elia.prodrt;Inge, William.proaus;Wood, Natalie.act;Hingle, Pat.act;Christie, Audrey.act;Loden, Barbara,1932-1980.act;Lampert, Zohra,1937-act;Beatty, Warren,1937-act;Stewart, Fred,1906-1970.act;Roos, Joanna,1901-1989.act;McGovern, John,1902-1985.act;Norris, Jan.act;Bartlett, Martine,1925-2006.act;Lockwood, Gary,1937-act;Dennis, Sandy,1937-1992.act;Field, Crystal,1942-act;Adams, Marla,1938-act;Loring, Lynn,1944-act;Diller, Phyllis.act;Garrison, Sean,1937-act;Kaufman, Boris.cng;Amram, David.cndcmp;Maguire, Charles H.pro;Milford, Gene.drt;Sylbert, Richard.dsr;Johnstone, Anna Hill,1913-1992.cst;Johnstone, Edward(Edward J.)sds;Vorisek, Dick.sds;Callahan, Gene,-1990.std;Tapps, George.chr	Warner Bros. Pictures (1923-1967),presenter.;Newtown Productions,production company.;Warner Home Video (Firm),publisher.
3642305	W.C. Fields straight up[videorecording] /Robert B. Weide and Whyaduck Productions in association with W.C. Fields Productions, Inc. present ; a film by Joe Adamson ; produced by Robert B. Weide ; directed by Joe Adamson ; written by Joe Adamson and Ronald J. Fields.	Straight up	Santa Monica, CA :Direct Cinema Limited,[2008];©2008	1 videodisc (93 min.) :sound, color with black and white sequences ;4 3/4 in.	Originally produced as a television broadcast in 1986.	Dudley Moore narrates this look at comedian W.C. Fields that contains footage from home movies, newsreels, silent films, and outtakes.	Comedians--United States--Biography.;Motion picture actors and actresses--United States--Biography.;Comedy films.;Biographical television programs.;Documentary television programs.			Weide, Robert B.,television producer.;Adamson, Joe,television director,screenwriter.;Fields, Ronald J.,1949-screenwriter.;Moore, Dudley,1935-2002,narrator.	Whyaduck Productions,presenter.;W.C. Fields Productions,presenter.;Direct Cinema Ltd.,publisher.
3642308	Le temps du loup[videorecording] =Time of the wolf /les Films du losange, Wega Film, Bavaria Film présentent un coproduction franco-austro-allemande ; une production de Margaret Menegoz, Veit Heiduschka ; un film de Michael Haneke.	Time of the wolf	NY, NY :Palm Pictures,[2004];©2004	1 videodisc (109 min.) :sound, color ;4 3/4 in.	Released as a motion picture in 2003.;Special features include: an interview with director Michael Haneke, an interview with star Isabelle Huppert, production footage, filmographies, theatrical trailer, previews, weblinks.	"""An extremely timely and prescient piece of social commentary, Time of the wolf follows a family's difficult journey immediately after an unknown apocalyptic event. Haneke never tells us what happened, or where, or when, but instead puts us directly into the terrifying aftermath, with all of its confusion, uncertainty, and danger. As all social laws and codes are suddenly overturned, Heneke asks us to find our own way through. Time of the wolf is Haneke's most intense film, and also his most hopeful.""--Container."	Disasters--Drama.;Families--France--Drama.		Thrillers (Motion pictures)--lcgft;Thrillers (Motion pictures)--France.--local;Apocalyptic films.--lcgft;Apocalyptic films--France.--local;Feature films.--lcgft;Feature films--France.--local;Fiction films.--lcgft;Foreign films.--local;Motion pictures--France.--local;French language films.--local	Haneke, Michael,1942-screenwriter,director.ausdrt;Menegoz, Margaret,producer.;Heiduschka, Veit,producer.;Jürges, Jürgen,1940-cinematographer.;Willi, Monika,film editor.;Muse, Nadine,film editor.;Huppert, Isabelle,actor.act;Bénichou, Maurice,actor.act;Biscombe, Lucas,1991-actor.act;Chéreau, Patrice,actor.act;Dalle, Béatrice,1964-actor.act;Demoustier, Anaïs,1987-actor.act;Duval, Daniel,1944-actor.act;Even, Maryline,actor.act;Gourmet, Olivier,actor.act	Films du losange (Firm);Wega Film (Firm);Bavaria Film.;Palm Pictures.
3625293	Praia do futuro[videorecording] /Coração da Selva apresentam ; um filme de Karim Ainouz ; [produced by] Georgia Costa Araujo, Hank Levine ; roteiro, Felipe Bragança, Karim Aïnouz.	Also known as:Futuro Beach.	[Brazil?] :California Filmes,[2014];©2014	1 videodisc (approximately 109 min.) :sound, color ;4 3/4 in.	Originally produced as a motion picture in 2014.;Extras include previews and trailers.	A Brazilian lifeguard saves a German man from drowning, and the two men form a romantic bond. Eight years later, that bond is tested when the lifeguard's younger brother enters the picture.	Gay men--Drama.;Lifeguards--Drama.	Berlin (Germany)--Social life and customs--Drama.;Brazil--Social life and customs--Drama.	Fiction films.--lcgft;Feature films.--lcgft	Aïnouz, Karim,director,screenwriter.;Bragança, Felipe,screenwriter.;Moura, Wagner,1976-actor.;Schick, Clemens,actor.;Barbosa, Jesuita,actor.;Lima, Fred,actor.;Gözkaya, Ali Olcay,director of photography.;Hauschka(Musician),composer.;Castro, Isabela Monteiro de,film editor.	Coração da Selva (Firm),production company.;California Filmes,distributor.
